Question;Answer
paces_q_1;1
paces_q_2;2
paces_q_3;3
paces_q_4;3
kidscreen_20_q_1;5
kidscreen_20_q_2;4
kidscreen_20_q_3;3
kidscreen_20_q_4;3
kidscreen_20_q_5;2
kidscreen_20_q_6;5
kidscreen_20_q_7;4
kidscreen_20_q_8;4
kidscreen_20_q_9;3
kidscreen_20_q_10;4
kidscreen_20_q_11;4
kidscreen_20_q_12;3
kidscreen_20_q_13;3
kidscreen_20_q_14;2
kidscreen_20_q_15;3
kidscreen_20_q_16;3
kidscreen_20_q_17;3
kidscreen_20_q_18;2
kidscreen_20_q_19;1
kidscreen_20_q_20;2

